Fecha:,08/07/2022 19:05,,,,,
Operador,Nombre plan,Descripción,Fecha validez,Cifra descuento,Tipo descuento,Destinatario
"MEROIL, S.A.",TARJETA MEROIL DESCUENTO,dESCUENTO POR LITRO,,1.800,Céntimos de euro en cada litro,Todos los consumidores
BP OIL ESPAÑA S.A.,Visa BP,"La tarjeta VISA BP es una tarjeta de pago que permite pagar en cualquier establecimiento adherido a VISA cualquier compra, obtener descuentos y además todas las ventajas de pertenecer al programa BPpremierplus (Descuento en carburante desde el 3% hasta el 6%, pudiendo llegar al 8% considerando la promoción ValeAhorroBP).",,3.000,Porcentaje sobre el precio total,Todos los consumidores
EMPRESAS DEL GRUPO CEPSA,CEPSA STAR,Medio de pago que permite la compra a profesionales del transporte en las Estaciones de Servicio CEPSA de todo tipo de carburantes excepto gasóleo bonificado en las estaciones adheridas,,1.000,Céntimos de euro en cada litro,Transportistas profesionales
EMPRESAS DEL GRUPO CEPSA,CEPSA STAR FLOTAS,Medio de pago que permite la compra a flotas (colectivos) en las Estaciones de Servicio CEPSA de todo tipo de carburantes excepto gasóleo bonificado en las estaciones adheridas,,1.000,Céntimos de euro en cada litro,"Colectivos (taxis, flotas de vehículos, etc.)"
EMPRESAS DEL GRUPO CEPSA,CEPSA STAR EUROTRAFIC,Medio de pago que permite la compra a profesionales del transporte en las Estaciones de Servicio CEPSA y en la Red Internacional de Eurotrafic de todo tipo de carburantes excepto gasóleo bonificado en las estaciones adheridas,,1.100,Céntimos de euro en cada litro,Transportistas profesionales
EMPRESAS DEL GRUPO CEPSA,CEPSA STAR GASOLEO BONIFICADO,"Medio de pago que permite la compra en las Estaciones de Servicio CEPSA los gasóleos destinados a la agricultura, calefacción, ? en las estaciones adheridas",,1.200,Céntimos de euro en cada litro,Agricultores
EMPRESAS DEL GRUPO CEPSA,CEPSA STAR TAXI,Tarjeta de descuento presencial que ofrece un descuento  en el carburante para el colectivo de taxistas en las estaciones adheridas,,3.000,Céntimos de euro en cada litro,"Colectivos (taxis, flotas de vehículos, etc.)"
EMPRESAS DEL GRUPO CEPSA,PORQUE TU VUELVES,"Tarjeta de fidelidad que ofrece un descuento de 0,005 €/lt de todos los carburantes excepto gasóleo bonificado en las estaciones adheridas",,0.500,Céntimos de euro en cada litro,Todos los consumidores
EMPRESAS DEL GRUPO CEPSA,VISA PORQUE TU VUELVES,Medio que pago que ofrece un descuento de 3% y hasta un 5% del importe de todos los carburantes excepto gasóleo bonificado en las estaciones adheridas,,3.000,Porcentaje sobre el precio total,Todos los consumidores
SARAS ENERGÍA S.A,Tarjeta profesional,Se aplica centimos por litro de descuento sobre el volumen de carburante,,4.800,Céntimos de euro en cada litro,Transportistas profesionales
SARAS ENERGÍA S.A,Tarjeta platinun,Se aplica centimos litro sobre el precio del carburante,,6.000,Céntimos de euro en cada litro,"Colectivos (taxis, flotas de vehículos, etc.)"
SARAS ENERGÍA S.A,tarjeta deres club,Se aplica un porcentaje de descuento sobre el precio del carburante,,2.000,Porcentaje sobre el precio total,Todos los consumidores
GALP ENERGÍA ESPAÑA S.A.,ING BANK,Ahorra un 3% con cada compra que realices utilizando tus tarjetas de ING en las estaciones Galp,,3.000,Porcentaje sobre el precio total,Todos los consumidores
"LUVIRR,S.A.",LUVIRR,Descuento segun tabla de consumo a final de mes,,3.000,Céntimos de euro en cada litro,"Colectivos (taxis, flotas de vehículos, etc.)"
GALP ENERGÍA ESPAÑA S.A.,ABANCA,Ahorra hasta un 5% de descuento utilizando tus tarjetas de Abanca en las estaciones de servicio Galp.,,5.000,Porcentaje sobre el precio total,Todos los consumidores
GALP ENERGÍA ESPAÑA S.A.,BANKIA,Ahorra un 2% en las compras que realices utilizando tus tarjetas de Bankia en las estaciones Galp.,,2.000,Porcentaje sobre el precio total,Todos los consumidores
GALP ENERGÍA ESPAÑA S.A.,GALP FLOTA BUSINESS,Tarjeta de descuento inmediato para colectivos y asociados.,,4.500,Céntimos de euro en cada litro,Todos los consumidores
GALP ENERGÍA ESPAÑA S.A.,GALP FLOTA CORPORATE,"Dedicado a grandes empresas con consumos superiores a 4.000 l / año, con ventajas proporcionales al tamaño de tu empresa - permitiendo adquirir combustibles (con descuento), productos y servicios Galp, a crédito, en toda la Península Ibérica.",,1.000,Céntimos de euro en cada litro,Transportistas profesionales
"BETA RENOWABLE GROUP, S.A.",BETA PLATINUM GASOLEO PROFESIONAL,DESCUENTO EN LOS CARBURANTES SOBRE PRECIO EN POSTE,,7.000,Céntimos de euro en cada litro,Transportistas profesionales
"BETA RENOWABLE GROUP, S.A.",BETA PLATINUM,DESCUENTO EN LOS CARBURANTES SOBRE PRECIO EN POSTE,,5.000,Céntimos de euro en cada litro,"Colectivos (taxis, flotas de vehículos, etc.)"
"PETRONIEVES, S.L.",TARJETA PETRONIEVES,"TARJETA CONTADO, PREPAGO Y CREDITO CON DESCUENTO EN GASOLEOS Y GASOLINAS. DEPENDIENDO SU TARJETA ESCOGIDA EL DESCUENTO VARIARA.",31/12/2050,0.006,Céntimos de euro en cada litro,Todos los consumidores
"BON PREU, SAU.",BON PREU- ESCLAT TARGETA CLIENT,DESCUENTO DE 3 CTS POR LITRO PARA LOS CLIENTES CON TARGETA CLIENT BON PREU-ESCLAT,,3.000,Céntimos de euro en cada litro,Todos los consumidores
